molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL2111947,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2[C@H]1CN1,inactive,315.50100000000003,3.898100000000002,2.0,2.0,4.301029995663981
CHEMBL431859,CCn1c(C(c2ccc(F)cc2)n2ccnc2)c(C)c2cc(Br)ccc21,active,412.30600000000004,5.705420000000004,0.0,3.0,6.623423042943488
CHEMBL113637,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2ccccc21,active,319.38300000000004,4.634500000000003,0.0,3.0,7.2441251443275085
CHEMBL112021,Clc1ccccc1Cn1cc(Cn2ccnc2)c2ccccc21,active,321.81100000000004,4.587800000000002,0.0,3.0,7.267606240177032
CHEMBL41761,CCn1ccc2cc(C(c3ccc(F)cc3)n3ccnc3)ccc21,active,319.38300000000004,4.634500000000003,0.0,3.0,7.3872161432802645
CHEMBL111868,Cn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,384.25200000000007,4.914100000000003,0.0,3.0,7.105130343254747
CHEMBL111888,CCn1cc(C(c2ccc(F)cc2)n2ccnc2)c2cc(Br)ccc21,active,398.27900000000005,5.397000000000003,0.0,3.0,7.285670240254767
CHEMBL112074,CCn1ccc2cc(C(c3ccccc3)n3ccnc3)ccc21,active,301.39300000000003,4.495400000000003,0.0,3.0,6.688246138944246
CHEMBL324326,N#Cc1ccc(Cn2cc(Cn3ccnc3)c3ccccc32)cc1,active,312.37600000000003,3.8060800000000024,0.0,4.0,7.301029995663981
CHEMBL353068,c1ccc2c(c1)CCC1C(c3cc[nH]n3)C21,inactive,210.28000000000003,2.8531000000000004,1.0,1.0,4.292429823902063
CHEMBL166709,O=C1/C(=C/c2cccnn2)CCc2ccccc21,inactive,236.27399999999997,2.6891000000000007,0.0,3.0,3.6020599913279625
CHEMBL424556,O=C1/C(=C/c2ccnnc2)CCc2ccccc21,inactive,236.274,2.6891000000000016,0.0,3.0,3.9871627752948275
CHEMBL1630261,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,288.431,3.8792000000000035,1.0,2.0,7.301029995663981
CHEMBL169251,O=C1/C(=C\c2c[nH]cn2)CCc2ccccc21,active,224.26299999999998,2.622200000000001,1.0,2.0,6.769551078621726
CHEMBL1629805,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,288.43100000000004,3.8808000000000025,1.0,2.0,7.309803919971486
CHEMBL433728,c1ccc2c(c1)CCC1C(c3ccsc3)C21,inactive,226.34400000000002,4.191500000000003,0.0,1.0,3.6020599913279625
CHEMBL38877,CCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,260.337,2.2884,0.0,3.0,4.508638306165727
CHEMBL169449,O=C1c2ccccc2CCC1C(O)c1cnccn1,inactive,254.28900000000002,1.9552999999999998,1.0,4.0,3.6020599913279625
CHEMBL39275,CCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,274.36400000000003,2.6785000000000014,0.0,3.0,4.3979400086720375
CHEMBL39513,CCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,inactive,288.391,3.0686000000000018,0.0,3.0,4.6777807052660805
CHEMBL2112738,CC(=O)O[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,inactive,346.46700000000016,3.4224000000000023,1.0,4.0,4.958607314841775
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,218.25599999999994,1.166,1.0,3.0,5.0
CHEMBL289116,CCC1(c2ccncc2)CCC(=O)NC1=O,inactive,218.25599999999994,1.166,1.0,3.0,4.346787486224656
CHEMBL39782,CCC1(c2ccncc2)CCC(=O)N(C)C1=O,inactive,232.28299999999993,1.5082,0.0,3.0,4.522878745280337
CHEMBL304903,c1ccc2c(c1)CCC1C(c3ccncc3)C21,active,221.30300000000003,3.525000000000002,0.0,1.0,6.431798275933005
CHEMBL488,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,inactive,232.28299999999996,1.3532,2.0,3.0,4.853871964321762
CHEMBL168434,O=C1/C(=C/c2c[nH]cn2)CCc2ccccc21,active,224.26299999999998,2.622200000000001,1.0,2.0,6.585026652029182
CHEMBL352645,c1ccc2c(c1)CCC1C(c3c[nH]cn3)C21,active,210.28000000000003,2.8531000000000004,1.0,1.0,6.221848749616356
CHEMBL2112739,CC(=O)O[C@H]1CCC[C@@]2(C)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,active,330.46800000000013,4.450000000000005,0.0,3.0,6.0
CHEMBL440930,c1cncc(C2C3CCc4ccccc4C32)c1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,4.886056647693163
CHEMBL1630274,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.8516000000000012,2.0,3.0,7.508638306165727
CHEMBL1629804,C[C@]12CC[C@H]3[C@@H](CCC4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,272.43199999999996,4.908400000000004,0.0,1.0,7.221848749616356
CHEMBL39661,CCCCCCCCN1C(=O)CCC(CC)(c2ccncc2)C1=O,active,330.47200000000004,4.238900000000004,0.0,3.0,6.096910013008056
CHEMBL166789,c1ccc(C2C3CCc4ccccc4C32)nc1,inactive,221.30300000000003,3.525000000000002,0.0,1.0,3.6020599913279625
CHEMBL3349856,C[C@]12CC[C@H]3[C@@H](CC=C4[C@H](O)CCC[C@@]43C)[C@@H]1CCC2=O,active,288.43100000000004,3.8792000000000035,1.0,2.0,6.0655015487564325
CHEMBL1630275,CO[C@H]1CCC[C@@]2(CO)C1=CC[C@H]1[C@@H]3CCC(=O)[C@@]3(C)CC[C@@H]12,inactive,318.4570000000001,3.5057000000000027,1.0,3.0,3.8239087409443187
CHEMBL1630267,C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O,active,304.43000000000006,2.8516000000000012,2.0,3.0,6.026872146400302
CHEMBL38510,CC1(c2ccncc2)CCC(=O)NC1=O,inactive,204.22899999999998,0.7758999999999998,1.0,3.0,3.6108339156354674
CHEMBL415753,O=C1/C(=C/c2cc[nH]n2)CCc2ccccc21,inactive,224.26299999999998,2.622200000000001,1.0,2.0,4.7447274948966935
CHEMBL3349864,C[C@]12CC[C@H]3[C@@H](CC=C4[C@@H](O)CCC[C@@]43C)[C@@H]1CCC2=O,active,288.43100000000004,3.8792000000000035,1.0,2.0,6.552841968657781
CHEMBL1629806,C[C@]12CC[C@H]3[C@@H](C[C@H](O)C4=CCCC[C@@]43C)[C@@H]1CCC2=O,active,288.431,3.8792000000000035,1.0,2.0,6.721246399047171
CHEMBL169664,O=C1c2ccccc2CCC1C(O)c1cccnn1,inactive,254.28900000000002,1.9552999999999996,1.0,4.0,3.6020599913279625
